t=2026-02-15T21:35:52+0530 lvl=info msg="no configuration paths supplied"
t=2026-02-15T21:35:52+0530 lvl=info msg="using configuration at default config path" path=/home/siddhartha/.config/ngrok/ngrok.yml
t=2026-02-15T21:35:52+0530 lvl=info msg="open config file" path=/home/siddhartha/.config/ngrok/ngrok.yml err=nil
t=2026-02-15T21:35:52+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-02-15T21:35:52+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-02-15T21:35:53+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-02-15T21:35:53+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-02-15T21:41:02+0530 lvl=info msg="join connections" obj=join id=6613993fbe09 l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53396
t=2026-02-15T21:41:05+0530 lvl=info msg="join connections" obj=join id=514d60187f6b l=127.0.0.1:3000 r=43.225.25.134:60076
t=2026-02-15T21:41:09+0530 lvl=info msg="join connections" obj=join id=18e52e7b1b14 l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
t=2026-02-15T21:41:09+0530 lvl=info msg="join connections" obj=join id=c0ad6eeea592 l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
t=2026-02-15T21:41:09+0530 lvl=info msg="join connections" obj=join id=f40215850408 l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
t=2026-02-15T21:41:09+0530 lvl=info msg="join connections" obj=join id=45f3a252a7c8 l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53620
t=2026-02-15T21:41:11+0530 lvl=info msg="join connections" obj=join id=e6e9ff40b44b l=127.0.0.1:3000 r=43.225.25.134:58018
t=2026-02-15T21:41:11+0530 lvl=info msg="join connections" obj=join id=4568d25de0d5 l=127.0.0.1:3000 r=43.225.25.134:58018
t=2026-02-15T21:41:11+0530 lvl=info msg="join connections" obj=join id=2b3ad9b2c29d l=127.0.0.1:3000 r=43.225.25.134:58018
t=2026-02-15T21:41:11+0530 lvl=info msg="join connections" obj=join id=a401c6abb2bb l=127.0.0.1:3000 r=43.225.25.134:58018
t=2026-02-15T21:41:11+0530 lvl=info msg="join connections" obj=join id=bbc627c1def1 l=127.0.0.1:3000 r=43.225.25.134:58018
t=2026-02-15T21:41:11+0530 lvl=info msg="join connections" obj=join id=25ea36d1a6e7 l=127.0.0.1:3000 r=43.225.25.134:58018
t=2026-02-15T21:41:11+0530 lvl=info msg="join connections" obj=join id=d37bf9f793c6 l=127.0.0.1:3000 r=43.225.25.134:58018
t=2026-02-15T21:41:11+0530 lvl=info msg="join connections" obj=join id=fd231c9e647d l=127.0.0.1:3000 r=43.225.25.134:58018
t=2026-02-15T21:41:11+0530 lvl=info msg="join connections" obj=join id=b6b980382ffd l=127.0.0.1:3000 r=43.225.25.134:58018
t=2026-02-15T21:41:11+0530 lvl=info msg="join connections" obj=join id=5fb80f070632 l=127.0.0.1:3000 r=43.225.25.134:58018
